No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
1;Oppo;Oppo A17;https://www.gsmarena.com/oppo_a17-11902.php;N/A;N/A;N/A;Li-Po 5000 mAh;IPX4 water resistance;N/A;164.2 x 75.6 x 8.3 mm (6.46 x 2.98 x 0.33 in);Nano-SIM + Nano-SIM;189 g (6.67 oz);Yes;N/A;No;GPS;FM radio;microUSB 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~83.3% screen-to-body ratio);IPS LCD;N/A;Fingerprint (side-mounted), accelerometer, proximity;2022, September 26;Available. Released 2022, September 26;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;64GB 3GB RAM, 64GB 4GB RAM;Midnight Black, Lake Blue, Sunlight Orange;CPH2477;$ 168.76 / € 124.99 / £ 78.90 / ₹ 9,999;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765 Helio G35 (12 nm);PowerVR GE8320;Android 12, ColorOS 12.1;HDR;5 MP, f/2.2, (wide);Yes;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
2;Oppo;Oppo A12;https://www.gsmarena.com/oppo_a12-10171.php;N/A;N/A;N/A;Li-Po 4230 mAh;N/A;Glass front, plastic back, plastic frame;155.9 x 75.5 x 8.3 mm (6.14 x 2.97 x 0.33 in);Nano-SIM + Nano-SIM;165 g (5.82 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;720 x 1520 pixels, 19:9 ratio (~270 ppi density);6.22 inches, 96.6 cm2 (~82.0% screen-to-body ratio);IPS LCD, 450 nits (typ);N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2020, April 20;Available. Released 2020, April 20;"13 MP, f/2.2, (wide), 1/3.1"", 1.12µm, PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;32GB 3GB RAM, 64GB 4GB RAM;Blue, Black;CPH2083, CPH2077;About 560 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765 Helio P35 (12 nm);PowerVR GE8320;Android 9.0 (Pie), ColorOS 6.1;HDR;"5 MP, f/2.0, 1/5.0"", 1.12µm";;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
3;Oppo;Oppo F15;https://www.gsmarena.com/oppo_f15-10009.php;N/A;N/A;20W wired, 50% in 30 min;Li-Po 4025 mAh;N/A;Glass front (Gorilla Glass 5), plastic back, plastic frame;160.2 x 73.3 x 7.9 mm (6.31 x 2.89 x 0.31 in);Nano-SIM + Nano-SIM;172 g (6.07 oz);4.2, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~408 ppi density);6.4 inches, 100.4 cm2 (~85.5% screen-to-body ratio);AMOLED, 430 nits (typ);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, January 16;Available. Released 2020, January;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.3, 13mm (ultrawide), 1/4.0"", 1.12µm
2 MP B/W, f/2.4, 1/5.0"", 1.75µm
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 8GB RAM;Lightening Black, Unicorn White;CPH2001;About 250 EUR;1.20 W/kg (head)     0.55 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mediatek MT6771V Helio P70 (12 nm);Mali-G72 MP3;Android 9.0 (Pie), upgradable to Android 11, ColorOS 11.1;HDR;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
4;Oppo;Oppo K12x;https://www.gsmarena.com/oppo_k12x-13237.php;N/A;N/A;45W wired, PD, 50% in 30 min;5100 mAh;"IP54 dust protected and water resistant (water splashes)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;165.7 x 76 x 7.7 mm (6.52 x 2.99 x 0.30 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.3, A2DP, LE, aptX HD;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Panda glass;720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~85.2% screen-to-body ratio);IPS LCD, 120Hz, 1000 nits (HBM);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2024, July 29;Available. Released 2024, August 02;"32 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60fps;UFS 2.2;microSDXC;128GB 6GB RAM, 256GB 8GB RAM;Breeze Blue, Midnight Violet;CPH2667;₹ 12,599;1.18 W/kg (head)     1.19 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 88 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 14, ColorOS 14;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
5;Oppo;Oppo Find X8;https://www.gsmarena.com/oppo_find_x8-13407.php;N/A;N/A;"80W wired, PD 55W, PPS, UFCS
50W wireless
10W reverse wireless";Si/C Li-Ion 5630 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)";Glass front (Gorilla Glass 7i), glass back (Gorilla Glass 7i), aluminum frame;157.4 x 74.3 x 7.9 mm (6.20 x 2.93 x 0.31 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;193 g (6.81 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), GLONASS, NavIC (L5);No;USB Type-C 3.0 (Global), 2.0 (China), OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;Ultra HDR image support;Corning Gorilla Glass 7i;1256 x 2760 pixels (~460 ppi density);6.59 inches, 105.6 cm2 (~90.3% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, 800 nits (typ), 1600 nits (HBM), 4500 nits (peak);Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, October 24;Available. Released 2024, October 30;N/A;Laser AF, color spectrum sensor, Hasselblad Color Calibration, LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
50 MP, f/2.6, 73mm (periscope telephoto), 1/1.95"", 0.61µm, 3x optical zoom, multi-directional PDAF, OIS
50 MP, f/2.0, 15mm, 120˚ (ultrawide), 1/2.75"", 0.64µm, multi-directional PDAF";"4K@30/60fps, 1080p@30/60/240fps; gyro-EIS; HDR, 10‑bit video, Dolby Vision";UFS 4.0;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Star Grey, Space Black, Shell Pink, Blue;CPH2651, PKB110;About 850 EUR;N/A;1, 3, 5, 7, 8, 28, 38, 40, 41, 66, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 66 - International;1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720);Mediatek Dimensity 9400 (3 nm);Immortalis-G925;Android 15, up to 5 major Android upgrades, ColorOS 15;Panorama;"32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm";4K@30/60fps, 1080p@30/60fps, gyro-EIS;N/A;No;Yes, with stereo speakers;N/A;Active use score 13:58h;N/A;N/A;1364 nits max brightness (measured);-24.0 LUFS (Very good);"AnTuTu: 2751909 (v10)
GeekBench: 8885 (v6)
3DMark: 6513 (Wild Life Extreme)"
6;Oppo;Oppo A16;https://www.gsmarena.com/oppo_a16-11021.php;N/A;N/A;N/A;Li-Po 5000 mAh;N/A;N/A;163.8 x 75.6 x 8.4 mm (6.45 x 2.98 x 0.33 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.0, A2DP, LE, aptX;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~269 ppi density);6.52 inches, 102.6 cm2 (~82.9% screen-to-body ratio);IPS LCD, 480 nits (typ);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2021, July 17;Available. Released 2021, July 17;N/A;LED flash, HDR, panorama;N/A;N/A;"13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC 5.1;microSDXC;32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 256GB 4GB RAM;Pearl Blue, Space Silver, Crystal Black;CPH2269;$ 429.00 / € 124.99 / £ 93.20;0.77 W/kg (head)     0.97 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765G Helio G35 (12 nm);PowerVR GE8320;Android 11, upgradable to Android 12, ColorOS 12;HDR;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
7;Oppo;Oppo A9 (2020);https://www.gsmarena.com/oppo_a9_(2020)-9819.php;N/A;N/A;"10W wired
Reverse wired";Li-Po 5000 mAh, non-removable;N/A;Glass front (Gorilla Glass 3), plastic back, plastic frame;163.6 x 75.6 x 9.1 mm (6.44 x 2.98 x 0.36 in);Nano-SIM + Nano-SIM;195 g (6.88 oz);5.0, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.5 inches, 102.0 cm2 (~82.5% screen-to-body ratio);IPS LCD, 480 nits (typ);N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, September 10. Released 2019, September;Discontinued;N/A;Dual-LED dual-tone flash, panorama, HDR;"48 MP, f/1.8, (wide), 1/2.25"", 0.8µm, PDAF
8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm, AF
2 MP, f/2.4, 1/5.0"", 1.75µm
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 8GB RAM;Marine Green, Space Purple, Vanilla Mint;CPH1937, CPH1939, CPH1941;About 150 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SDM665 Snapdragon 665 (11 nm);Adreno 610;Android 9.0 (Pie), upgradable to Android 10, ColorOS 7.1;HDR;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
8;Oppo;Oppo Reno4;https://www.gsmarena.com/oppo_reno4-10348.php;N/A;N/A;30W wired, 50% in 20 min;Li-Po 4015 mAh;N/A;Glass front, plastic frame, plastic back;160.3 x 73.9 x 7.7 mm (6.31 x 2.91 x 0.30 in);Nano-SIM + Nano-SIM;165 g (5.82 oz);5.1, A2DP, LE, aptX HD;N/A;No;GPS, GLONASS, BDS, GALILEO, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~411 ppi density);6.4 inches, 98.9 cm2 (~83.5% screen-to-body ratio);OLED, 430 nits (typ);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, July 29;Available. Released 2020, August 05;N/A;LED flash, HDR, panorama;"48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30/60fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);128GB 8GB RAM;Galactic Blue, Space Black;CPH2113;About 330 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver);Qualcomm SM7125 Snapdragon 720G (8 nm);Adreno 618;Android 10, ColorOS 7.2;HDR;"32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
9;Oppo;Oppo Reno8 T;https://www.gsmarena.com/oppo_reno8_t-12109.php;N/A;N/A;"33W wired, PD, 54% in 30 min
Reverse wired";Li-Po 5000 mAh;N/A;Glass front (Gorilla Glass 5), glass back or eco leather back, plastic frame;160.8 x 73.8 x 7.8 mm (6.33 x 2.91 x 0.31 in);Nano-SIM + Nano-SIM;180 g or 183 g (6.35 oz);5.3, A2DP, LE, aptX HD;N/A;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~409 ppi density);6.43 inches, 99.8 cm2 (~84.1% screen-to-body ratio);AMOLED, 90Hz, 430 nits (typ), 800 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, February 02;Available. Released 2023, February 02;"100 MP, f/1.7, 26mm (wide), AF
2 MP, f/3.3, 34mm (microscope)
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC;128GB 8GB RAM, 256GB 8GB RAM;Black Starlight, Orange Sunset;CPH2481;€ 490.73;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G99 (6 nm);Mali-G57 MC2;Android 13, upgradable to Android 14, ColorOS 14;HDR, panorama;32 MP, f/2.4, 22mm (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
10;Oppo;Oppo A5 (2020);https://www.gsmarena.com/oppo_a5_(2020)-9883.php;N/A;N/A;Reverse wired;Li-Po 5000 mAh, non-removable;N/A;Glass front (Gorilla Glass 3), plastic back, plastic frame;163.6 x 75.4 x 9.1 mm (6.44 x 2.97 x 0.36 in);Nano-SIM + Nano-SIM;195 g (6.88 oz);5.0, A2DP, LE;N/A;Yes (market dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.5 inches, 102.0 cm2 (~82.7% screen-to-body ratio);IPS LCD, 480 nits (typ);N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, September 21. Released 2019, October;Discontinued;N/A;LED flash, HDR, panorama;"12 MP, f/1.8, 26mm (wide), 1/2.8"", 1.25µm, PDAF
8 MP, 119˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (depth) 
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);32GB 4GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Mirror Black, Dazzling White;CPH1931, CPH1959, CPH1933, CPH1935, CPH1943;About 170 EUR;N/A;1, 3, 5, 8, 38, 40, 41;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 400/50 Mbps;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SDM665 Snapdragon 665 (11 nm);Adreno 610;Android 9.0 (Pie), ColorOS 6.1;HDR;"8 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
